"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","me01_01","me01_02","me01_03","me01_04","me01_05","me01_06","me01_07","me01_08","ko01_01","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","he01_01","he01_02","he01_03","he01_04","he01_05","he01_06","he01_07","he01_08","he01_09","he01_10","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","de01","de02_01","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time011","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"48",112,NA,NA,"base","interview",1,1,1,3,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,2,4,5,5,5,1,1,24,51,50,71,65,95,1,1,53,17,99,100,100,100,99,99,19,1,100,51,77,100,27,1,89,98,29,1,5,5,5,6,6,6,6,6,1,4,77,78,20,55,53,78,101,41,NA,34,51,51,100,100,101,65,51,101,51,20,1,22,50,5,19,87,78,42,178,71,49,63,88,16,8,699,NA,TRUE,FALSE,11,11,1,1,"1,1"
"49",113,NA,NA,"base","interview",1,1,1,5,2,1,3,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,5,3,3,1,3,2,1,1,10,5,36,1,100,56,100,1,1,70,61,100,100,75,100,64,67,1,1,100,1,100,79,1,48,37,100,12,100,6,6,6,6,3,5,5,5,3,5,26,19,8,24,16,13,101,28,87,28,22,14,71,61,72,84,28,77,54,30,1,21,19,5,21,127,170,62,170,98,66,65,72,19,8,878,NA,TRUE,FALSE,11,11,0,0,"0,9"
"50",114,NA,NA,"base","interview",2,4,3,1,1,1,3,2,3,5,2,1,1,1,1,1,5,1,1,1,2,1,1,1,2,4,3,3,3,2,5,5,2,1,76,1,81,3,89,88,98,10,5,71,21,100,100,70,100,76,51,2,3,79,59,99,79,3,8,100,100,1,3,6,4,4,6,5,6,4,5,4,6,73,72,15,36,21,29,85,86,100,14,52,28,52,43,42,62,45,51,52,41,1,21,33,5,12,63,103,56,190,88,48,64,108,17,9,758,NA,TRUE,FALSE,11,11,0,0,"1,03"
"51",116,NA,NA,"base","interview",4,4,3,4,4,2,4,2,2,6,1,1,1,2,1,1,4,1,1,1,1,1,1,2,2,5,5,1,1,2,3,1,1,1,1,100,8,68,18,100,100,19,100,100,1,84,100,74,100,100,100,16,6,100,100,100,100,100,18,100,100,1,100,6,6,6,6,6,6,6,6,4,6,10,10,10,10,10,51,101,101,51,51,51,1,101,101,101,17,51,31,51,22,2,22,36,5,36,54,85,29,132,1010,47,49,92,19,9,649,NA,TRUE,FALSE,11,11,0,0,"1,08"
"52",117,NA,NA,"base","interview",1,2,3,3,1,1,3,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,5,4,3,5,2,3,1,1,1,93,47,82,1,100,69,99,2,3,95,1,100,99,99,99,98,99,2,3,99,54,100,98,17,3,50,99,5,8,6,6,6,6,6,6,6,6,4,6,48,42,40,37,29,46,100,100,100,73,72,54,101,51,75,99,36,100,54,51,1,21,23,5,45,78,105,54,173,85,59,58,67,23,6,753,NA,TRUE,FALSE,11,11,0,0,"1,01"
"53",118,NA,NA,"base","interview",1,3,2,3,1,2,3,1,1,2,3,1,2,5,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,NA,29,25,83,10,68,77,67,NA,NA,68,51,73,85,87,100,69,100,NA,NA,100,17,65,84,52,NA,14,70,52,21,5,6,6,6,6,6,5,6,6,6,40,25,19,19,14,34,90,69,95,57,56,5,65,35,42,85,53,67,38,24,2,21,8,5,6,64,97,39,136,87,80,58,102,25,3,697,NA,TRUE,FALSE,11,11,5,5,"1,25"
"54",119,NA,NA,"base","interview",1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,1,51,51,51,1,11,76,51,6,1,80,60,76,100,71,71,70,89,5,1,100,5,70,100,1,7,80,51,50,75,5,5,5,6,5,6,5,5,5,6,21,21,11,21,21,31,71,81,61,51,51,21,51,51,71,11,51,70,51,51,2,27,23,6,17,91,124,41,194,93,39,89,127,19,6,840,NA,TRUE,FALSE,11,11,0,0,"0,98"
"55",120,NA,NA,"base","interview",4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,8,51,6,34,39,82,51,16,11,31,1,11,11,21,51,12,14,13,16,12,12,11,13,15,15,15,16,17,11,4,4,4,4,4,4,4,4,4,4,51,51,31,51,51,51,11,11,11,11,11,11,11,11,12,13,51,32,33,16,2,32,17,5,27,108,139,62,199,119,59,70,109,31,14,937,NA,TRUE,FALSE,11,11,0,0,"0,77"
"56",121,NA,NA,"base","interview",1,1,1,1,2,1,2,1,1,5,4,1,3,1,1,1,4,5,1,6,1,1,5,4,1,3,1,1,1,1,1,1,1,1,21,40,70,1,11,58,80,1,1,51,1,100,90,100,100,100,100,1,22,100,8,51,100,1,1,27,100,2,65,2,6,6,6,6,6,6,6,5,6,31,31,6,17,5,78,101,91,91,64,81,5,101,73,101,95,1,101,51,70,2,22,11,5,31,70,146,52,195,148,44,57,80,15,5,843,NA,TRUE,FALSE,11,11,0,0,"1,02"
"57",122,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,1,1,2,1,1,2,2,1,1,1,1,1,1,1,55,1,90,1,51,39,72,1,1,96,51,94,94,94,94,100,100,1,1,100,1,94,100,1,1,33,94,NA,11,5,5,5,6,6,5,6,5,5,5,24,23,2,28,16,47,71,79,80,76,72,9,78,78,88,80,11,78,47,80,1,23,9,5,24,52,104,55,168,69,38,64,100,21,9,704,NA,TRUE,FALSE,11,11,1,1,"1,07"
"58",123,NA,NA,"base","interview",2,2,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,3,2,2,3,2,2,1,51,77,63,30,28,69,100,8,11,100,100,100,79,100,100,100,100,1,1,99,19,84,98,74,10,68,100,100,1,5,6,6,6,6,6,6,6,5,6,61,25,15,15,14,57,82,101,101,72,73,32,85,73,99,79,47,74,47,47,1,25,24,6,3,49,97,51,141,73,49,42,108,24,9,646,NA,TRUE,FALSE,11,11,0,0,"1,33"
"59",125,NA,NA,"base","interview",2,4,1,1,3,4,1,2,2,4,3,2,2,1,1,1,5,3,2,2,2,2,3,2,1,1,1,1,1,1,1,2,3,11,11,1,1,1,11,31,41,1,1,61,11,40,30,31,51,51,70,1,11,51,41,51,80,1,1,11,11,11,21,5,5,5,6,6,6,6,6,5,6,41,41,21,NA,21,21,21,21,21,21,21,21,31,31,31,41,31,31,41,31,2,28,19,5,43,84,116,73,253,109,84,41,135,26,26,990,NA,TRUE,FALSE,11,11,1,1,"0,78"
"60",126,NA,NA,"base","interview",3,2,2,2,1,1,3,1,3,2,1,2,1,1,2,1,4,1,1,4,2,1,1,3,2,4,4,5,5,5,4,2,2,21,80,100,6,70,90,100,100,1,1,21,1,40,100,41,90,65,60,1,1,100,51,100,70,1,1,60,100,80,100,5,4,5,6,4,6,5,6,4,6,39,32,49,33,33,42,86,51,45,37,49,50,69,63,66,57,52,79,53,55,1,23,21,5,16,71,90,42,236,79,48,55,82,17,10,746,NA,TRUE,FALSE,11,11,0,0,"1,07"
"61",127,NA,NA,"base","interview",2,2,1,2,4,3,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,1,1,3,2,5,5,1,1,4,3,2,4,1,80,51,22,10,9,82,82,1,1,44,1,66,100,84,86,87,100,3,1,86,64,76,65,6,52,74,80,51,76,5,6,6,5,5,6,5,5,5,5,78,68,68,22,11,70,96,9,26,8,26,12,96,20,63,26,15,93,41,13,1,22,43,5,49,63,106,66,219,82,45,62,82,16,2,792,NA,TRUE,FALSE,11,11,1,1,"1,21"
"62",128,NA,NA,"base","interview",2,3,NA,3,2,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,2,2,2,2,75,77,55,28,77,59,87,38,2,52,81,82,74,82,72,72,75,3,2,80,50,67,68,1,61,67,80,72,82,5,5,5,5,5,4,5,5,1,4,30,29,9,16,18,17,56,55,56,15,15,14,55,42,54,27,22,52,8,9,2,20,46,5,8,83,122,51,138,91,89,59,77,29,4,751,NA,TRUE,FALSE,11,11,1,1,"1,09"
"63",129,NA,NA,"base","interview",2,3,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,3,1,2,2,2,3,4,2,5,5,5,3,3,2,1,1,NA,100,11,75,47,77,82,85,16,1,51,57,100,100,100,100,100,59,31,1,100,71,100,100,5,2,100,100,NA,NA,6,5,5,6,4,5,4,5,4,4,71,61,61,46,22,64,51,NA,20,31,67,63,51,51,62,61,20,NA,61,21,2,30,43,6,18,153,164,87,151,130,69,87,281,30,9,1179,NA,TRUE,FALSE,11,11,2,2,"0,7"
"64",130,NA,NA,"base","interview",2,2,2,3,2,3,2,4,4,4,2,2,2,3,2,1,2,2,1,3,2,1,3,3,2,4,2,5,2,3,4,3,4,1,65,31,55,24,85,64,74,25,8,72,42,86,71,64,82,76,78,16,27,74,33,68,83,5,48,81,53,15,58,4,5,4,5,5,5,6,5,5,6,69,51,3,49,35,72,58,45,86,36,67,24,31,25,50,42,58,43,16,22,1,21,33,5,34,92,96,53,155,114,78,73,99,24,4,822,NA,TRUE,FALSE,11,11,0,0,"0,95"
"65",131,NA,NA,"base","interview",2,3,3,2,1,3,3,1,2,1,2,3,2,1,2,1,1,4,2,4,3,1,1,5,2,3,3,3,2,3,4,2,2,1,55,17,62,5,100,100,91,2,6,96,30,90,71,51,71,8,87,12,2,100,16,100,100,41,3,85,100,5,11,6,6,6,6,6,6,5,4,5,6,67,32,2,38,19,51,78,95,85,31,47,6,84,56,97,87,10,51,65,75,1,20,21,5,24,104,167,77,290,154,76,108,135,19,12,1166,NA,TRUE,FALSE,11,11,0,0,"0,69"
"66",132,NA,NA,"base","interview",3,4,2,3,1,2,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,6,3,3,11,72,100,72,65,100,100,100,25,1,83,67,100,72,72,100,60,100,1,1,100,55,100,67,6,2,67,100,100,62,6,6,6,6,6,6,6,6,3,6,42,41,66,43,26,56,90,51,84,1,1,36,17,1,64,51,51,63,61,12,1,28,1,6,18,116,133,67,201,94,60,60,122,18,4,893,NA,TRUE,FALSE,11,11,0,0,"0,95"
"67",133,NA,NA,"base","interview",2,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,4,4,2,1,2,3,2,1,1,24,13,30,8,76,51,100,1,1,42,49,100,100,66,100,100,100,1,1,100,60,100,100,1,1,100,100,64,100,6,6,6,6,6,6,5,6,5,5,69,62,30,18,33,59,101,101,91,54,57,18,52,43,74,65,54,78,63,23,1,25,19,6,18,68,88,36,160,65,101,45,82,20,17,700,NA,TRUE,FALSE,11,11,0,0,"1,08"
"68",137,NA,NA,"base","interview",2,2,2,3,3,3,3,1,1,4,1,5,1,2,5,1,3,5,5,5,3,3,5,5,1,3,2,3,3,3,2,2,2,11,85,36,55,6,51,80,85,41,6,45,21,100,100,85,100,90,65,1,16,95,56,76,85,51,51,46,100,90,80,6,4,5,6,5,6,3,6,4,5,46,61,81,26,16,81,76,71,76,51,51,16,101,56,71,41,61,76,71,66,2,22,27,6,2,65,92,50,212,94,44,55,237,15,3,869,NA,TRUE,FALSE,11,11,0,0,"1,34"
"69",140,NA,NA,"base","interview",4,5,4,5,2,1,5,2,2,2,4,3,3,6,5,5,5,3,1,5,5,4,5,5,6,6,4,1,1,4,2,2,1,3,76,13,2,98,79,96,92,83,16,24,10,81,89,98,81,62,42,6,18,55,60,69,31,11,47,19,91,51,11,5,4,4,6,3,2,6,5,1,1,92,97,95,96,96,97,100,9,50,3,12,90,97,4,2,2,51,72,79,3,2,30,81,5,52,82,81,45,184,94,55,79,79,22,3,776,NA,TRUE,FALSE,11,11,0,0,"1,08"
"70",141,NA,NA,"base","interview",3,3,3,3,2,3,3,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,4,3,2,2,3,3,2,2,1,21,21,90,51,90,95,100,6,1,51,1,65,95,90,95,100,95,16,1,95,51,76,85,6,1,71,100,95,95,6,5,5,6,5,5,6,5,4,4,51,51,51,36,16,41,96,96,51,46,51,26,51,46,66,31,51,76,51,46,1,21,33,5,3,122,144,85,389,82,50,49,145,33,2,1104,NA,TRUE,FALSE,11,11,0,0,"1,22"
"71",142,NA,NA,"base","interview",1,3,2,NA,2,2,2,2,2,3,3,1,2,1,1,1,1,2,1,2,1,1,1,1,2,3,3,2,2,3,NA,1,1,NA,28,52,100,NA,50,51,NA,NA,NA,80,81,51,NA,51,NA,75,100,NA,51,100,NA,51,80,51,NA,11,51,NA,NA,5,5,5,6,5,6,4,5,5,6,26,21,1,2,1,51,51,76,51,NA,NA,1,NA,NA,NA,91,51,NA,NA,81,2,21,19,5,27,110,171,99,192,122,48,67,108,22,8,974,NA,TRUE,FALSE,11,11,19,19,"0,81"
"72",148,NA,NA,"base","interview",1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,4,2,2,2,2,2,1,1,34,15,84,4,80,14,65,3,25,71,51,83,53,79,64,89,91,4,5,92,24,77,96,17,5,3,83,53,25,4,5,5,5,5,5,5,5,3,4,17,16,5,7,5,26,63,68,80,51,50,11,50,64,63,83,8,63,5,52,1,24,7,6,23,51,118,32,218,94,59,133,93,15,4,840,NA,TRUE,FALSE,11,11,3,3,"1,1"
"73",149,NA,NA,"base","interview",2,4,3,1,1,1,2,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,3,4,1,2,3,3,2,2,51,71,51,21,21,1,80,100,11,1,100,71,100,100,100,100,21,100,1,1,100,41,100,51,1,6,71,100,100,100,6,6,6,6,6,6,6,6,2,6,21,11,51,6,6,51,NA,81,1,51,51,1,51,51,51,1,51,51,41,41,2,28,33,5,16,69,88,47,212,104,46,58,114,25,7,786,NA,TRUE,FALSE,11,11,1,1,"1"
"74",150,NA,NA,"base","interview",2,4,5,4,4,NA,3,3,2,6,5,6,6,6,6,3,6,3,2,4,3,1,1,4,5,4,3,2,2,4,6,2,1,1,21,51,17,46,100,100,33,1,1,48,1,51,100,100,55,24,31,1,1,58,90,100,72,14,4,98,99,9,98,6,6,6,6,6,6,4,5,2,4,49,25,5,52,4,48,69,99,10,NA,15,37,49,10,41,1,23,63,41,3,2,22,47,5,19,42,77,28,150,67,36,41,49,15,5,529,NA,TRUE,FALSE,11,11,2,2,"1,49"
"75",151,NA,NA,"base","interview",3,3,2,4,4,4,3,1,2,5,2,2,1,4,4,1,6,1,1,1,1,1,1,1,1,6,4,2,2,4,5,2,1,3,12,48,21,21,61,72,84,28,35,59,2,45,72,73,89,84,89,3,3,93,93,19,70,51,15,70,73,1,73,6,6,6,6,6,6,6,6,5,6,45,34,43,35,34,58,74,85,55,32,31,30,42,33,46,26,41,74,54,32,1,24,38,5,9,35,52,25,96,55,29,30,45,14,6,396,NA,TRUE,FALSE,11,11,0,0,"1,85"
"76",154,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,55,1,11,4,8,69,46,16,3,99,14,79,58,100,100,100,100,5,3,77,5,61,100,2,1,1,75,1,3,5,6,6,6,6,6,6,6,6,6,2,4,28,2,3,34,97,80,101,66,70,3,38,73,69,86,17,60,7,37,2,21,8,5,8,27,64,33,101,48,29,39,66,18,7,440,NA,TRUE,FALSE,11,11,0,0,"1,7"
"77",155,NA,NA,"base","interview",2,3,2,3,5,3,5,3,2,4,1,4,1,2,2,1,3,6,1,5,2,2,2,3,2,5,4,2,2,4,2,2,2,1,51,31,100,58,100,88,96,1,1,31,1,75,100,31,100,31,82,3,1,100,66,33,100,1,16,16,100,1,100,5,5,5,5,5,5,5,6,4,5,32,32,18,30,13,33,101,14,18,50,81,23,101,86,54,17,48,31,59,48,1,24,38,6,21,75,81,35,155,76,54,72,65,28,5,667,NA,TRUE,FALSE,11,11,0,0,"1,13"
"78",156,NA,NA,"base","interview",1,1,1,1,1,1,4,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,100,1,100,100,100,100,NA,51,NA,50,100,51,100,51,51,51,50,29,16,31,21,100,51,5,12,57,85,56,NA,6,6,6,6,6,6,5,6,4,4,30,30,74,50,70,85,84,88,2,101,101,57,77,101,91,9,57,15,56,101,2,22,41,5,9,50,75,30,139,69,23,52,71,14,2,534,NA,TRUE,FALSE,11,11,3,2,"1,67"
"79",157,NA,NA,"base","interview",3,2,2,4,1,1,1,1,1,5,3,2,2,2,2,3,1,5,5,5,5,5,5,5,5,2,2,2,2,4,1,1,1,6,100,21,36,2,6,73,92,8,78,61,5,93,20,100,53,73,82,6,39,90,17,77,80,70,6,79,86,51,96,4,4,4,6,6,5,6,6,6,5,15,1,8,9,7,87,79,89,6,26,54,4,55,66,65,12,4,51,9,31,2,20,25,5,5,51,310,66,146,40,36,34,116,11,4,819,NA,TRUE,FALSE,11,11,0,0,"1,49"
"80",158,NA,NA,"base","interview",2,3,2,4,3,4,4,2,1,2,1,1,1,3,1,1,4,1,1,1,1,1,1,3,2,2,3,2,2,3,2,3,3,1,82,83,67,65,36,100,84,16,68,69,24,85,85,100,85,100,92,39,1,100,66,75,100,86,1,33,91,100,100,6,6,6,6,6,6,6,6,4,6,57,54,19,55,53,22,90,52,39,62,67,65,71,76,74,56,53,71,69,64,2,21,19,5,29,104,131,58,187,77,62,76,71,14,9,818,NA,TRUE,FALSE,11,11,0,0,"0,97"
"81",159,NA,NA,"base","interview",2,2,1,3,3,4,3,3,1,3,2,2,1,2,2,1,3,3,2,3,2,1,2,3,1,5,4,4,4,3,4,4,2,1,40,30,61,21,80,90,100,11,70,51,51,100,100,100,51,71,61,1,1,100,41,100,70,21,51,51,100,51,80,5,5,5,6,1,5,5,6,3,5,61,41,41,46,36,41,101,71,91,26,31,51,81,61,61,51,66,101,41,51,1,22,24,5,19,77,100,53,253,100,30,94,125,22,8,881,NA,TRUE,FALSE,11,11,0,0,"0,95"
"82",160,NA,NA,"base","interview",3,3,2,1,1,3,3,1,1,6,5,5,5,1,5,1,4,5,6,6,6,3,5,6,6,4,1,1,2,2,2,2,2,99,51,51,51,80,51,100,100,75,NA,11,100,100,34,69,100,51,11,NA,70,100,21,100,NA,21,11,85,100,50,21,4,1,3,6,4,3,3,NA,3,1,86,81,76,76,41,21,101,101,1,41,41,101,51,11,46,1,51,41,51,51,2,28,67,6,25,101,126,44,187,120,72,96,123,29,5,928,NA,TRUE,FALSE,11,11,3,3,"0,85"
"83",161,NA,NA,"base","interview",5,3,3,5,4,4,1,1,3,6,4,2,5,6,4,3,1,6,1,5,4,6,1,6,6,6,6,6,6,6,5,5,3,6,100,25,1,1,1,100,100,33,1,1,51,100,100,100,100,100,100,1,17,100,100,21,6,1,1,1,100,100,1,6,4,4,6,5,5,1,5,3,4,46,46,46,61,46,47,35,84,1,6,16,66,68,36,10,1,1,51,78,70,2,22,51,6,22,115,104,63,155,179,57,77,96,26,9,903,NA,TRUE,FALSE,11,11,0,0,"0,84"
"84",162,NA,NA,"base","interview",1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,100,53,100,NA,100,76,100,NA,NA,100,80,100,100,100,100,83,100,NA,NA,93,NA,100,100,NA,NA,100,100,88,100,6,6,6,6,6,6,6,6,4,6,1,1,33,1,1,51,82,101,101,51,51,2,101,82,83,101,28,101,28,53,2,24,24,6,423,82,107,46,117,82,36,52,90,23,2,648,NA,TRUE,FALSE,11,11,8,7,"1,26"
"85",165,NA,NA,"base","interview",1,2,2,4,3,2,1,1,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,2,2,2,3,1,1,51,11,NA,80,2,12,100,80,61,80,100,2,2,95,11,61,NA,90,3,11,91,51,30,85,81,3,41,50,100,77,2,5,5,5,6,6,6,6,5,5,28,45,70,57,14,74,50,84,10,64,76,19,52,78,75,42,2,8,23,13,2,NA,35,6,19,80,116,50,216,89,48,56,65,15,2,756,NA,TRUE,FALSE,11,11,3,3,"1,26"
"86",167,NA,NA,"base","interview",2,3,1,2,2,2,3,1,1,2,1,1,1,1,1,1,4,1,1,1,2,1,1,2,1,5,4,3,3,3,4,3,4,1,11,36,51,NA,31,85,76,11,40,51,1,11,100,95,100,80,90,4,1,61,21,26,40,41,16,31,90,21,21,5,6,6,6,6,6,6,5,3,3,51,41,51,21,21,41,81,91,61,36,41,31,76,61,41,31,51,71,51,31,1,18,49,5,21,76,126,58,254,351,115,98,161,26,7,1293,NA,TRUE,FALSE,11,11,1,1,"0,72"
"87",168,NA,NA,"base","interview",2,2,3,4,2,3,5,2,2,4,1,1,2,2,2,1,2,4,1,2,1,1,2,2,2,4,4,2,3,4,4,2,2,6,21,80,60,100,11,70,90,16,11,90,11,95,100,80,80,71,41,25,4,85,21,21,70,61,25,71,100,100,90,6,6,6,6,5,5,5,4,4,4,46,36,66,21,21,61,96,36,16,46,36,21,71,66,66,46,31,46,46,11,1,23,24,6,7,57,68,54,285,115,149,138,225,20,7,1125,NA,TRUE,FALSE,11,11,0,0,"0,95"
"88",169,NA,NA,"base","interview",2,5,2,2,1,1,2,1,1,4,5,2,1,1,5,1,6,6,1,6,1,1,2,6,5,6,6,6,6,6,6,5,2,1,51,51,25,51,21,100,85,21,1,100,100,100,100,100,100,100,1,51,1,100,51,100,100,36,61,100,51,NA,11,6,6,6,6,6,6,6,6,1,4,61,51,81,51,101,81,51,51,1,16,51,86,51,11,51,51,81,51,101,6,2,22,54,6,3,106,180,35,345,178,67,64,290,34,6,1308,NA,TRUE,FALSE,11,11,0,0,"0,98"
"89",170,NA,NA,"base","interview",3,3,2,1,2,3,3,1,2,2,1,1,1,3,1,3,6,1,3,2,1,1,3,6,4,5,5,6,2,5,6,1,1,30,71,100,100,80,30,100,100,41,1,23,2,100,100,36,100,51,71,1,16,80,51,100,51,25,11,51,100,100,100,6,6,5,4,5,6,4,4,1,6,31,11,51,71,1,80,71,51,26,51,51,51,76,51,31,1,51,51,51,1,2,20,53,5,10,67,91,63,137,153,48,52,77,14,2,714,NA,TRUE,FALSE,11,11,0,0,"1,33"
"90",171,NA,NA,"base","interview",1,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,2,2,3,2,1,NA,100,70,51,NA,100,51,51,NA,NA,74,74,100,100,100,100,100,100,NA,34,100,52,84,100,52,NA,NA,100,33,45,6,6,6,6,6,6,6,6,4,6,52,53,54,27,10,58,101,101,101,101,101,1,101,101,101,75,50,101,52,13,2,24,24,6,8,139,267,157,303,107,123,111,150,80,13,1458,NA,TRUE,FALSE,11,11,6,6,"0,61"
"91",172,NA,NA,"base","interview",1,2,2,3,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,3,2,1,1,1,100,1,82,17,100,51,90,25,5,11,62,100,100,100,100,100,100,1,48,100,45,75,100,51,2,82,100,100,22,6,6,6,6,6,6,6,6,4,6,7,5,7,7,7,69,101,100,69,69,69,16,69,70,101,72,52,101,66,69,2,21,11,5,19,84,230,67,226,97,54,65,86,26,3,957,NA,TRUE,FALSE,11,11,0,0,"0,97"
"92",173,NA,NA,"base","interview",1,3,2,2,1,1,1,1,2,4,3,4,3,2,4,1,2,2,2,4,3,2,4,3,3,4,3,2,3,4,4,3,3,4,79,9,60,22,49,74,87,1,11,89,94,100,66,100,88,51,63,21,2,52,50,79,51,8,12,65,90,NA,76,2,4,5,5,6,5,5,4,6,3,58,44,12,55,37,50,87,99,96,26,41,31,52,31,31,65,78,84,75,44,1,22,37,6,3,42,85,33,156,75,56,50,75,16,9,600,NA,TRUE,FALSE,11,11,1,1,"1,46"
"93",177,NA,NA,"base","interview",1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,4,3,3,3,2,3,2,3,1,75,51,73,61,65,100,96,32,28,56,89,100,100,100,100,100,99,14,1,100,82,100,100,69,6,59,100,12,49,6,6,6,6,6,6,6,6,6,6,51,43,51,37,14,59,101,101,93,82,83,39,81,73,101,101,88,101,85,34,1,23,24,6,3,28,70,45,141,47,45,28,90,16,4,517,NA,TRUE,FALSE,11,11,1,1,"1,78"
"94",178,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,100,1,100,1,100,51,100,1,1,100,1,100,100,100,100,100,100,1,1,100,1,100,100,1,1,51,100,100,51,6,6,6,6,6,6,6,6,6,6,26,1,1,1,1,81,101,76,101,83,83,16,NA,86,101,79,1,101,54,81,2,19,1,5,46,53,13208,38,355,61,36,540,140,21,9,939,NA,TRUE,FALSE,11,11,1,1,"0,84"
"95",180,NA,NA,"base","interview",2,2,3,3,3,3,1,1,1,2,4,1,1,2,2,1,2,2,1,3,2,1,2,3,3,3,3,2,2,3,3,2,2,77,80,1,50,26,33,76,100,33,1,76,76,100,51,53,100,100,50,17,1,100,50,75,81,1,52,48,100,100,84,5,5,6,6,5,6,4,5,4,5,84,84,74,60,41,61,97,82,39,41,34,45,76,39,79,72,59,61,61,51,2,18,44,5,14,136,201,89,469,295,77,457,77,26,2,1450,NA,TRUE,FALSE,11,11,0,0,"0,84"
"96",182,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,4,2,1,2,1,1,1,1,1,2,2,2,1,2,4,2,1,6,89,8,96,1,87,76,78,1,3,99,51,75,76,96,100,88,100,6,5,100,18,78,100,6,5,34,100,52,92,5,6,6,6,6,6,5,6,5,6,16,16,1,13,7,15,101,96,92,58,57,11,78,90,89,101,25,101,24,78,3,24,1,6,16,71,89,39,147,93,38,43,90,31,7,664,NA,TRUE,FALSE,11,11,0,0,"1,12"
"97",184,NA,NA,"base","interview",3,4,2,4,2,2,2,1,1,2,3,5,4,2,1,1,1,2,2,2,2,2,2,2,2,5,4,3,3,3,5,4,2,1,51,27,66,11,69,75,75,8,11,50,67,77,79,78,49,51,68,9,7,52,43,82,83,27,9,61,51,51,93,5,4,4,6,5,5,5,5,3,4,80,79,37,60,33,86,51,64,36,34,51,51,51,34,34,33,51,51,51,33,2,22,33,6,5,28,56,34,125,43,25,30,67,14,1,428,NA,TRUE,FALSE,11,11,0,0,"2,07"
