"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","ko01_31","mi01_01","mi01_02","mi01_03","mi01_04","mi01_05","mi01_06","mi01_07","mi01_08","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","ta01_21","ta01_22","ta01_23","ta01_24","ta01_25","ta01_26","ta01_27","ta01_28","ta01_29","ta01_30","ta01_31","ta01_32","ta01_33","ta01_34","ta01_35","ta01_36","ta01_37","ta01_38","ta01_39","ta01_40","de01_01","de02","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"133",411,NA,NA,"base","interview",1,1,3,3,3,2,2,2,2,4,6,3,2,2,4,2,1,2,2,2,2,2,2,2,2,1,11,3,9,3,9,1,11,2,1,6,6,11,11,11,11,10,7,1,1,11,6,11,11,2,3,9,11,7,8,5,4,4,4,3,3,3,2,6,1,6,1,2,5,2,1,5,6,11,10,6,7,11,9,8,11,6,8,8,9,4,9,8,6,6,9,8,9,9,5,6,6,6,5,1,6,6,3,31,2,3,4,2,106,92,171,117,42,15,163,24,3,735,NA,TRUE,FALSE,10,10,1,0,"1,48"
"134",413,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,4,1,1,1,1,1,1,7,NA,6,1,6,4,11,1,1,8,2,11,10,10,11,11,11,1,1,11,6,NA,11,1,1,1,11,11,4,1,1,1,1,1,1,1,1,6,1,2,1,6,1,6,6,6,6,11,11,7,11,11,6,10,10,6,10,9,5,6,NA,7,4,6,10,9,11,5,3,2,6,2,2,2,2,6,1,24,1,2,4,26,65,134,179,105,38,27,135,31,3,743,NA,TRUE,FALSE,10,10,2,1,"1,14"
"135",416,NA,NA,"base","interview",1,4,3,3,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,6,9,2,7,9,11,1,1,6,1,7,11,11,11,11,9,1,1,11,1,6,11,3,1,6,11,3,2,4,4,4,1,3,4,1,1,4,1,5,1,9,3,10,7,6,1,11,10,11,11,11,11,6,11,9,11,9,10,8,11,11,6,8,11,9,9,10,6,6,7,9,6,1,6,6,6,25,1,3,4,189,53,14617,161,191,57,22,210,29,10,863,NA,TRUE,FALSE,10,10,2,2,"0,81"
"136",418,NA,NA,"base","interview",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,NA,9,6,11,NA,6,3,10,NA,NA,11,6,11,6,11,10,11,11,NA,NA,6,6,6,11,3,NA,NA,11,6,11,2,2,2,1,1,1,2,2,6,1,6,1,6,6,9,6,6,6,6,6,10,11,11,6,6,6,9,6,11,6,8,6,11,6,6,6,6,6,6,5,6,4,5,6,6,6,4,4,26,1,2,7,6,138,135,187,103,63,37,213,43,12,937,NA,TRUE,FALSE,10,10,6,5,"0,91"
"137",427,NA,NA,"base","interview",1,3,2,2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,2,2,2,NA,9,5,11,NA,NA,3,NA,6,6,11,11,11,10,NA,NA,11,6,6,11,NA,NA,NA,11,6,8,3,3,2,1,1,2,2,1,6,1,2,1,4,3,6,6,6,6,11,9,11,11,11,11,9,11,11,11,9,11,1,11,11,1,8,11,6,11,3,1,1,1,1,1,1,4,1,1,25,1,3,7,12,78,192,155,86,49,31,134,34,6,777,NA,TRUE,FALSE,10,10,9,8,"1,03"
"138",431,NA,NA,"base","interview",4,5,4,3,3,3,5,3,3,5,2,2,3,5,5,4,5,5,2,6,4,6,5,6,3,2,5,10,1,11,6,11,6,9,8,1,1,1,11,5,7,3,9,2,1,4,10,3,2,11,7,10,4,3,8,5,6,5,5,6,6,5,4,6,9,11,5,9,9,7,10,7,5,5,3,7,2,9,3,1,3,5,2,1,2,1,8,8,2,2,5,3,10,8,7,6,5,8,7,2,5,6,6,21,2,8,4,12,63,104,141,92,38,41,138,54,4,687,NA,TRUE,FALSE,10,10,1,0,"1,12"
"139",437,NA,NA,"base","interview",1,2,3,2,3,2,3,1,2,1,1,1,1,1,3,1,1,5,1,NA,3,1,2,5,2,1,6,5,5,2,5,8,6,2,4,7,7,7,7,6,7,8,10,4,1,8,3,7,9,6,2,8,8,6,9,2,2,1,1,2,2,2,1,6,2,6,2,7,4,7,7,6,6,7,7,9,6,9,6,6,6,7,5,5,5,7,8,8,6,6,6,6,7,4,3,3,2,2,2,2,3,6,1,22,2,4,4,25,110,152,325,102,36,28,123,30,7,938,NA,TRUE,FALSE,10,10,2,1,"0,95"
"140",438,NA,NA,"base","interview",2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,4,1,5,2,1,1,4,1,1,9,2,7,2,8,8,9,2,1,8,4,9,10,9,11,10,9,2,2,11,7,5,10,2,3,8,10,7,7,4,4,2,2,3,3,2,1,6,4,8,1,9,6,8,10,6,10,10,9,10,10,11,9,9,10,7,6,10,5,6,8,10,5,5,10,7,10,10,8,3,6,3,8,4,8,4,6,26,2,4,7,11,59,145,176,75,56,26,172,31,10,761,NA,TRUE,FALSE,10,10,2,1,"1,04"
"141",439,NA,NA,"base","interview",2,4,3,4,2,2,3,3,3,5,5,4,1,1,3,1,2,6,1,6,4,6,4,5,2,1,11,5,6,6,8,11,7,1,3,1,4,6,11,11,11,11,1,3,1,11,11,6,8,6,1,9,11,6,10,5,5,4,2,4,5,3,6,6,1,6,1,9,7,6,11,8,6,8,6,6,6,10,6,6,6,6,6,1,6,1,10,3,4,6,3,6,8,9,6,6,4,4,2,2,6,9,6,22,1,7,4,8,115,158,173,172,657,33,153,42,7,914,NA,TRUE,FALSE,10,10,1,0,"0,83"
"142",443,NA,NA,"base","interview",4,5,5,5,4,3,3,3,2,6,3,2,1,4,6,4,5,3,1,2,3,3,5,3,3,11,9,6,2,11,2,11,11,9,1,6,1,11,10,10,9,8,3,1,3,11,11,11,2,1,10,8,11,5,2,5,5,4,4,5,4,4,1,4,1,1,2,9,11,11,11,5,1,11,3,1,7,9,11,1,8,11,1,1,6,7,11,8,1,2,6,3,1,6,6,7,1,4,7,1,6,4,4,22,1,9,7,17,159,145,244,118,43,37,156,24,5,948,NA,TRUE,FALSE,10,10,1,0,"0,94"
"143",447,NA,NA,"base","interview",1,1,2,3,2,1,2,1,1,1,1,3,1,1,1,1,3,2,1,3,1,1,2,2,2,1,6,6,6,2,7,5,11,1,1,4,1,11,11,6,11,10,10,1,1,11,4,5,10,1,2,10,11,2,5,4,3,4,3,3,4,4,2,6,2,6,1,6,6,6,6,6,6,6,6,7,7,8,6,6,6,6,6,1,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,20,1,5,4,7,47,116,171,84,53,26,170,26,5,705,NA,TRUE,FALSE,10,10,1,0,"1,23"
"144",453,NA,NA,"base","interview",1,1,1,3,3,3,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,3,2,1,1,8,5,11,3,11,11,11,1,1,10,3,8,11,10,11,11,11,1,2,11,3,11,11,5,3,4,11,9,6,3,4,4,2,3,2,2,2,8,3,6,1,5,2,8,10,4,5,11,9,6,8,11,11,10,11,9,11,8,6,9,10,10,5,6,9,8,11,4,3,2,1,3,2,2,3,6,2,21,1,3,4,7,54,80,136,74,64,18,170,30,5,638,NA,TRUE,FALSE,10,10,1,0,"1,32"
"145",454,NA,NA,"base","interview",1,3,1,1,2,1,3,2,3,4,1,1,2,1,1,1,2,3,1,1,1,1,1,3,1,1,9,9,11,1,4,9,10,1,3,6,6,11,11,9,11,11,11,1,1,6,4,4,11,7,1,3,6,3,4,3,3,2,2,3,2,2,2,6,2,6,1,7,3,6,4,6,6,6,6,8,9,10,6,6,6,9,6,9,6,7,7,11,4,6,9,6,11,6,4,6,4,4,4,2,6,6,6,27,1,3,7,5,69,119,202,80,39,18,181,21,3,737,NA,TRUE,FALSE,10,10,1,0,"1,44"
"146",456,NA,NA,"base","interview",2,4,3,3,3,2,2,3,2,1,2,2,3,1,2,2,4,3,2,2,2,1,2,2,2,1,7,8,2,8,2,11,8,7,1,10,3,6,11,8,8,6,5,1,1,6,6,6,7,4,6,6,8,6,9,3,3,3,3,4,5,3,2,6,1,5,1,11,8,6,6,6,6,6,6,4,1,9,6,5,6,6,5,2,6,4,7,7,2,3,7,3,8,6,6,6,6,5,5,2,6,3,3,NA,NA,5,4,3,433,82,115,69,51,24,111,21,3,912,NA,TRUE,FALSE,10,10,2,2,"1,51"
"147",458,NA,NA,"base","interview",2,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,4,2,8,9,11,5,3,6,6,6,9,7,9,8,9,1,4,9,5,9,9,5,1,9,9,4,3,4,4,3,3,1,1,2,2,4,5,8,3,6,7,8,8,6,7,9,6,6,8,8,8,8,9,8,8,3,4,6,7,7,3,3,8,4,11,8,6,4,7,6,4,3,4,4,4,22,1,4,4,14,68,86,153,171,43,28,155,21,6,745,NA,TRUE,FALSE,10,10,1,0,"1,12"
"148",462,NA,NA,"base","interview",2,3,2,3,2,3,3,2,1,3,2,1,1,2,4,2,4,3,1,2,2,1,2,1,1,3,8,3,6,2,8,7,10,1,2,6,NA,11,10,8,11,9,7,1,2,11,6,10,10,1,NA,4,11,10,10,4,2,2,2,2,4,2,1,NA,1,2,1,NA,2,2,6,3,5,10,NA,9,10,10,NA,NA,10,10,NA,7,NA,6,11,9,6,NA,NA,NA,9,NA,NA,NA,1,3,NA,1,NA,NA,2,28,1,4,6,124,80,110,192,113,47,49,177,61,8,849,NA,TRUE,FALSE,10,10,14,13,"0,8"
"149",468,NA,NA,"base","interview",2,2,2,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,8,6,NA,6,NA,6,10,10,2,6,4,1,8,11,6,11,8,11,1,1,10,8,11,10,3,1,9,11,3,9,5,4,2,2,3,4,3,2,6,NA,NA,1,1,6,10,10,NA,6,10,9,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,10,10,3,1,NA,2,8,5,NA,3,2,3,NA,NA,6,NA,3,21,1,4,4,5,57,81,141,73,49,28,96,28,5,563,NA,TRUE,FALSE,10,10,15,14,"1,42"
"150",469,NA,NA,"base","interview",1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,10,2,6,4,9,8,11,1,1,6,1,11,11,11,11,11,10,6,1,11,7,11,11,1,1,6,11,11,8,3,2,2,2,4,3,3,3,8,1,9,1,9,2,8,9,8,6,8,8,6,10,9,6,9,9,10,6,6,6,6,10,10,3,2,9,6,11,9,6,3,7,7,4,1,4,6,1,27,1,3,7,6,92,148,370,99,127,27,592,38,14,1513,NA,TRUE,FALSE,10,10,1,0,"0,83"
"151",474,NA,NA,"base","interview",3,4,2,4,2,3,3,1,1,5,1,2,1,1,2,2,3,2,1,1,1,1,1,2,2,1,11,7,8,7,9,10,11,3,1,9,8,11,11,10,11,9,7,2,3,11,6,10,9,3,3,5,11,9,9,5,5,3,2,4,4,4,2,7,1,4,1,6,8,8,6,6,6,10,7,11,10,11,8,8,8,5,5,6,8,3,8,11,7,4,10,6,10,8,6,3,2,3,3,1,6,8,3,28,2,3,7,1,163,81,137,84,49,15,118,38,2,688,NA,TRUE,FALSE,10,10,0,0,"1,59"
"152",475,NA,NA,"base","interview",3,4,3,4,2,3,3,3,2,5,2,4,3,4,5,1,4,2,2,2,2,3,3,5,4,3,6,6,2,8,5,8,8,6,4,3,2,7,10,8,9,9,2,1,2,9,8,5,7,6,8,8,3,6,11,6,6,4,3,5,6,4,3,6,1,6,1,8,6,9,9,5,4,2,7,5,1,3,4,6,2,3,6,1,6,1,4,2,4,4,7,4,6,6,5,5,5,5,6,5,6,6,6,29,2,7,7,448,40,68,118,58,32,24,119,26,7,504,NA,TRUE,FALSE,10,10,1,0,"1,35"
"153",477,NA,NA,"base","interview",3,2,2,NA,2,2,3,1,1,1,1,3,1,2,3,2,2,6,1,3,2,4,5,6,1,1,4,8,6,6,6,6,9,3,3,3,1,6,11,9,10,6,8,2,1,9,6,9,10,10,5,8,6,6,8,5,5,3,2,5,5,2,5,6,2,8,2,6,8,7,8,6,6,6,6,6,6,8,6,6,6,6,6,2,3,2,6,5,2,6,6,6,6,9,9,6,6,6,6,2,6,2,6,50,NA,9,7,20,70,89,138,98,42,27,107,38,6,635,NA,TRUE,FALSE,10,10,2,2,"1,12"
"154",482,NA,NA,"base","interview",2,4,1,2,1,NA,4,2,3,2,2,2,2,2,3,1,1,2,1,3,2,2,2,4,3,2,6,4,6,3,3,9,8,3,1,6,6,5,9,8,9,6,6,1,1,9,5,6,8,1,3,6,9,NA,7,5,5,5,5,4,5,4,4,6,1,6,1,7,6,7,7,6,6,6,7,6,3,9,6,6,6,6,6,6,6,6,7,7,4,5,6,6,7,6,6,6,4,6,6,3,6,NA,6,24,2,5,4,3,70,231,215,132,43,24,140,20,5,883,NA,TRUE,FALSE,10,10,2,2,"1,29"
"155",490,NA,NA,"base","interview",3,3,2,3,1,1,3,1,1,4,1,1,1,1,1,1,2,3,1,4,1,1,1,4,1,1,NA,NA,3,NA,11,NA,11,1,1,NA,NA,9,NA,11,11,9,11,11,1,11,2,11,NA,3,NA,NA,11,NA,4,5,6,3,1,4,3,3,3,NA,3,NA,1,7,NA,11,11,NA,6,11,NA,NA,7,NA,11,NA,NA,10,8,NA,NA,NA,11,NA,4,NA,NA,7,NA,11,NA,NA,6,3,1,NA,7,NA,NA,28,1,4,7,4,66,82,210,90,43,104,100,30,4,733,NA,TRUE,FALSE,10,10,24,23,"1,35"
"156",492,NA,NA,"base","interview",2,3,2,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,8,6,6,3,10,10,10,5,1,11,6,8,10,9,10,10,9,6,3,10,4,9,9,6,8,9,11,11,10,5,5,3,2,5,6,2,2,6,2,6,2,6,5,6,6,6,6,6,6,8,6,8,6,6,6,7,6,6,6,7,7,7,6,5,8,6,6,6,6,6,5,6,6,4,6,4,4,25,2,4,7,10,80,158,347,166,71,125,191,50,4,1202,NA,TRUE,FALSE,10,10,1,0,"0,81"
"157",496,NA,NA,"base","interview",1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,6,4,6,3,7,7,11,1,1,7,6,8,10,7,11,11,10,2,1,11,4,11,11,3,4,2,11,6,8,3,3,2,1,2,2,2,1,6,5,6,1,6,6,6,6,6,6,6,6,9,10,9,9,6,6,9,6,9,6,5,8,10,6,6,8,6,10,8,6,6,6,6,6,2,6,4,6,27,1,3,7,7,50,100,153,43,36,20,197,17,6,629,NA,TRUE,FALSE,10,10,2,1,"1,49"
"158",509,NA,NA,"base","interview",1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,2,1,1,1,2,1,3,1,NA,3,6,9,2,10,10,11,3,1,1,2,10,11,10,11,11,11,2,1,11,5,6,11,4,1,9,11,5,5,4,4,4,2,2,1,2,1,6,1,8,1,6,6,6,10,6,6,6,9,6,6,10,6,6,6,6,9,4,6,1,NA,10,2,6,10,6,10,6,6,6,6,6,6,2,6,6,6,46,2,6,5,5,87,194,158,120,94,57,204,58,11,988,NA,TRUE,FALSE,10,10,2,2,"0,89"
"159",511,NA,NA,"base","interview",1,3,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1,6,2,8,1,10,10,11,1,1,9,2,11,10,11,11,11,11,1,1,11,8,10,11,2,3,9,11,9,8,2,1,1,1,1,1,1,1,2,1,2,1,5,3,8,6,3,1,10,9,10,10,10,8,5,10,8,8,7,6,8,10,9,7,7,7,6,8,4,1,2,2,2,1,1,1,1,1,27,2,2,7,13,106,178,183,89,40,53,156,33,22,873,NA,TRUE,FALSE,10,10,1,0,"0,87"
"160",514,NA,NA,"base","interview",1,4,2,3,2,2,2,2,1,2,1,1,2,3,1,1,3,2,1,1,1,1,1,2,2,1,9,3,6,2,3,9,11,7,1,10,6,11,11,11,11,10,4,4,1,11,9,9,10,3,6,10,11,10,10,5,4,3,1,5,4,2,1,6,1,5,2,9,8,4,9,5,1,9,8,7,4,10,8,7,7,10,8,4,6,8,8,7,3,3,8,7,11,7,4,6,1,4,3,1,5,4,2,29,2,3,4,59,86,183,204,131,82,68,191,29,6,1039,NA,TRUE,FALSE,10,10,1,0,"0,76"
"161",515,NA,NA,"base","interview",3,3,2,2,1,1,2,1,1,1,1,1,1,2,2,1,3,4,1,1,1,1,1,1,1,1,8,3,2,4,6,6,11,2,1,5,3,2,11,10,10,11,11,2,1,11,2,7,11,3,4,9,11,8,8,5,3,2,2,2,3,2,2,2,1,5,1,10,4,8,7,6,6,11,11,11,6,11,10,9,6,11,8,3,7,4,10,10,3,3,9,6,11,6,2,2,2,3,2,1,4,2,2,25,1,3,7,23,140,117,275,130,48,54,296,43,6,1132,NA,TRUE,FALSE,10,10,1,0,"0,76"
"162",517,NA,NA,"base","interview",1,1,2,3,2,1,1,1,1,3,1,1,1,2,1,1,3,2,1,2,2,1,1,1,2,1,9,8,10,1,10,8,9,2,1,9,8,10,7,11,11,11,11,5,1,11,6,8,11,3,1,6,11,2,6,3,3,1,1,1,1,2,2,6,1,6,1,9,1,9,9,7,6,11,11,11,10,11,11,6,11,9,11,9,11,6,11,11,9,9,11,9,11,9,9,6,6,6,3,1,6,7,4,29,2,4,4,29,115,1177,245,149,72,91,240,52,9,1120,NA,TRUE,FALSE,10,10,1,0,"0,57"
"163",534,NA,NA,"base","interview",2,3,1,4,2,2,4,2,2,5,1,1,1,2,3,1,5,2,3,3,3,1,1,1,2,1,10,6,11,8,9,11,10,1,4,9,10,11,11,10,11,11,4,1,1,10,3,11,11,4,5,11,11,9,11,5,5,3,3,6,5,5,2,7,1,9,1,10,3,10,11,6,8,11,9,11,4,11,11,9,11,10,10,10,8,8,11,11,6,4,11,6,11,9,8,4,4,8,7,3,6,3,3,30,1,3,6,6,50,78,127,78,45,22,106,34,9,555,NA,TRUE,FALSE,10,10,0,0,"1,36"
"164",536,NA,NA,"base","interview",2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,3,1,3,2,2,2,4,1,1,10,11,7,4,6,6,9,1,2,2,4,11,11,10,11,7,11,3,1,11,5,11,11,9,3,3,11,2,11,3,3,2,2,2,3,2,3,5,1,9,1,4,2,8,6,2,7,11,8,11,9,11,11,6,11,11,5,6,4,2,7,8,3,3,9,4,11,7,5,3,3,4,3,1,4,3,2,26,1,4,7,43,50,89,143,62,65,14,121,24,5,616,NA,TRUE,FALSE,10,10,1,0,"1,31"
"165",537,NA,NA,"base","interview",1,2,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,2,2,5,2,1,2,4,2,1,11,6,10,6,3,8,11,1,1,6,7,8,11,11,11,10,11,1,1,11,8,10,10,6,3,9,11,3,8,4,4,2,2,4,3,3,2,8,2,7,1,7,6,7,7,8,7,11,8,11,7,10,7,7,7,10,7,7,7,7,9,8,7,7,7,7,8,8,7,7,5,7,7,2,7,7,7,30,2,3,5,2,47,102,115,89,34,23,308,29,1,750,NA,TRUE,FALSE,10,10,1,0,"1,61"
"166",541,NA,NA,"base","interview",2,3,3,2,2,3,3,1,1,3,1,1,2,4,2,1,4,2,2,3,3,3,3,3,5,1,7,2,6,2,8,7,10,3,1,7,1,9,10,11,11,9,6,2,2,10,5,8,10,2,3,4,9,7,9,4,2,NA,2,3,4,2,2,5,3,2,2,4,2,7,11,6,6,10,7,8,9,8,7,7,6,9,6,8,6,8,7,6,7,6,6,6,8,6,3,6,5,3,3,9,4,2,3,22,1,3,4,12,177,184,239,173,116,51,209,35,9,1205,NA,TRUE,FALSE,10,10,2,1,"0,7"
"167",544,NA,NA,"base","interview",1,1,1,2,1,1,2,1,NA,1,1,1,1,1,1,1,6,1,1,NA,NA,1,1,1,1,1,11,1,11,4,7,7,11,6,3,6,9,11,11,11,11,11,5,1,2,11,7,10,9,4,3,9,11,11,11,4,4,2,2,4,5,2,1,6,3,9,1,7,9,9,10,7,6,11,10,6,6,11,10,8,11,4,9,5,9,8,9,8,9,10,5,10,10,7,6,5,4,5,4,4,5,6,6,36,1,3,7,142,69,93,112,96,49,33,118,28,2,612,NA,TRUE,FALSE,10,10,3,3,"1,28"
"168",546,NA,NA,"base","interview",1,4,2,4,4,3,3,1,2,6,2,1,2,2,2,1,4,4,1,3,2,1,1,3,3,1,11,6,6,8,6,7,9,2,1,4,3,8,11,11,10,9,11,1,2,6,7,10,7,1,4,6,9,8,9,5,2,2,2,4,4,1,1,8,1,6,1,6,1,6,6,3,6,6,6,10,6,10,6,6,6,11,6,6,5,7,11,11,2,6,9,6,9,10,10,8,4,8,8,1,8,6,6,25,2,6,6,3,63,93,177,90,50,44,179,25,8,732,NA,TRUE,FALSE,10,10,1,0,"1,25"
"169",548,NA,NA,"base","interview",2,4,2,4,3,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,4,9,9,8,11,8,8,1,8,8,3,3,11,11,11,11,9,1,1,11,7,3,11,11,2,10,11,5,5,2,2,2,2,2,2,2,3,5,4,11,1,9,8,11,11,7,7,11,11,8,9,11,11,11,11,11,11,1,11,8,11,8,11,11,10,11,11,8,9,6,7,4,6,1,7,2,8,25,1,5,7,2,83,96,266,73,48,27,135,31,4,765,NA,TRUE,FALSE,10,10,1,0,"1,33"
"170",549,NA,NA,"base","interview",3,5,5,5,3,2,4,4,3,4,1,4,3,2,2,2,6,4,2,5,4,3,4,5,3,2,6,6,6,7,8,9,11,4,1,5,5,11,11,6,11,7,4,2,1,9,9,8,6,2,8,11,11,3,8,6,6,5,2,4,4,4,2,6,2,6,1,6,6,6,6,6,6,6,6,6,5,8,6,6,6,5,7,4,5,4,6,6,2,4,6,5,4,6,5,5,5,6,6,4,6,4,4,27,1,6,7,56,48,62,87,70,29,18,103,16,6,495,NA,TRUE,FALSE,10,10,1,0,"1,56"
"171",555,NA,NA,"base","interview",1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,10,1,11,6,11,1,1,5,1,11,11,6,11,11,11,1,1,11,5,11,11,1,1,3,11,11,8,4,5,1,1,1,4,1,1,7,3,6,1,7,2,9,9,5,6,11,11,11,11,11,11,6,11,11,8,9,6,7,10,11,5,6,6,6,9,7,7,5,2,4,5,1,6,2,5,23,1,3,7,146,60,145,196,76,58,33,178,52,8,818,NA,TRUE,FALSE,10,10,1,0,"0,86"
"172",564,NA,NA,"base","interview",4,4,4,3,3,3,5,2,2,4,1,1,1,2,1,1,4,6,1,2,2,2,2,5,1,2,6,10,2,11,6,9,9,8,2,2,1,9,6,3,9,9,2,2,6,10,9,6,6,9,9,9,9,6,6,5,5,2,2,3,5,4,3,8,1,10,1,8,10,10,8,6,8,9,6,6,2,9,8,8,6,3,6,1,6,1,10,3,1,2,6,3,6,9,9,9,3,6,6,2,8,1,6,24,2,8,7,34,43,84,110,103,41,34,115,25,2,591,NA,TRUE,FALSE,10,10,1,0,"1,42"
"173",570,NA,NA,"base","interview",1,3,1,2,2,2,2,1,2,3,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,11,3,9,2,9,8,10,1,1,6,1,8,10,11,11,11,4,1,1,11,2,6,11,4,2,2,11,9,2,4,3,2,2,2,3,2,2,4,1,4,1,3,3,8,3,2,2,11,11,5,9,11,11,8,11,9,8,6,8,3,10,10,2,8,10,10,10,5,3,2,3,3,2,1,3,1,3,32,2,3,7,4,100,157,317,165,111,44,309,59,15,1281,NA,TRUE,FALSE,10,10,1,0,"0,84"
"174",573,NA,NA,"base","interview",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,4,7,9,1,10,8,10,1,3,9,5,6,11,11,11,11,11,1,1,11,3,11,11,8,2,2,11,10,7,2,1,2,2,3,1,1,2,5,6,6,1,6,1,11,11,6,8,11,8,11,7,11,9,6,11,10,11,8,6,8,11,11,8,5,10,8,11,4,5,3,1,1,1,2,3,1,2,21,1,2,4,3,53,109,216,115,73,43,184,47,8,851,NA,TRUE,FALSE,10,10,1,0,"1,11"
"175",580,NA,NA,"base","interview",2,2,4,3,4,3,3,2,2,1,1,1,1,1,1,1,4,4,1,2,3,1,2,4,2,1,2,3,4,6,1,11,11,1,1,1,8,11,11,2,10,9,7,3,1,11,8,9,9,1,1,11,8,NA,9,4,4,2,2,3,4,3,3,9,1,1,1,8,8,9,9,9,8,11,10,NA,4,11,11,9,11,9,9,1,9,1,11,9,5,6,9,9,10,9,7,7,4,7,7,6,6,NA,4,21,2,6,4,15,100,96,172,191,112,33,185,42,11,957,NA,TRUE,FALSE,10,10,2,2,"0,81"
"176",584,NA,NA,"base","interview",4,4,3,3,2,1,4,2,1,4,2,5,1,1,4,1,1,NA,1,5,3,2,6,5,5,1,4,6,4,8,4,11,11,1,1,9,1,9,8,8,10,4,11,1,1,5,6,6,8,2,3,6,11,NA,4,1,1,1,1,4,1,1,1,6,3,6,1,6,3,9,9,6,1,9,3,6,3,9,6,6,NA,6,6,NA,2,6,6,9,2,6,9,6,6,9,6,6,1,6,6,1,4,NA,1,27,2,8,7,4,58,141,207,159,80,41,226,57,11,984,NA,TRUE,FALSE,10,10,5,4,"1"
"177",587,NA,NA,"base","interview",1,3,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,4,1,5,3,4,1,6,5,1,6,3,1,1,8,8,11,1,1,1,4,6,11,7,11,11,6,2,1,11,3,3,11,2,2,10,11,3,10,5,5,4,4,4,5,3,2,10,1,10,1,10,10,10,10,9,10,10,10,6,7,7,10,10,10,10,10,1,5,1,10,6,2,5,6,6,10,10,10,10,10,10,10,2,10,6,10,25,2,6,7,17,86,119,195,101,86,55,413,49,15,1136,NA,TRUE,FALSE,10,10,1,0,"0,72"
"178",589,NA,NA,"base","interview",1,2,1,1,2,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,9,2,11,1,8,5,8,1,1,11,2,11,11,11,11,11,11,3,1,11,2,11,11,4,3,4,11,8,3,5,4,1,1,3,3,2,1,7,1,NA,1,6,3,9,9,3,3,11,11,10,11,11,NA,10,9,11,10,11,9,9,11,11,6,7,11,8,11,8,2,5,4,2,2,11,4,4,2,23,2,2,7,191,61,103,103,393,49,20,148,51,3,943,NA,TRUE,FALSE,10,10,2,2,"1,09"
